,Group,Category,N,%,N total
0,in,Increasing,11,84.6,13
1,in,Stable,0,0.0,13
2,in,Decreasing,2,15.4,13
3,post,Increasing,12,70.6,17
4,post,Stable,2,11.8,17
5,post,Decreasing,3,17.6,17
6,pre,Increasing,8,80.0,10
7,pre,Stable,1,10.0,10
8,pre,Decreasing,1,10.0,10
