Group,N,P10,P25,P50,P75,P90,P95,P99
in,9,0.2849,0.3161,0.3783,0.8762,1.5192,1.8303,2.0792
post,9,0.248,0.4005,0.5543,1.1992,1.9467,3.2093,4.2193
pre,9,0.272,0.2923,0.3768,0.7852,1.2282,1.6784,2.0386
