Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.1119,0.1517,0.218,0.3061,0.359,0.3766,0.3907
post,3,0.1218,0.1773,0.2697,0.3236,0.3559,0.3667,0.3753
pre,3,0.1099,0.1117,0.1146,0.3009,0.4127,0.45,0.4798
