,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.689516,0.689516,,0.689516,0.689516,0.689516,0.689516,
post,1,0.560623,0.560623,,0.560623,0.560623,0.560623,0.560623,
