Group,N,P10,P25,P50,P75,P90,P95,P99
in,24,0.0576,0.0922,0.4061,2.4947,4.7999,22.4039,31.2011
post,28,0.0364,0.1205,0.3525,0.8505,2.5717,4.4832,37.5671
pre,19,0.1333,0.3493,0.8758,2.4955,4.6139,17.101,64.4166
