,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.665436,0.665436,,0.665436,0.665436,0.665436,0.665436,
post,1,0.492737,0.492737,,0.492737,0.492737,0.492737,0.492737,
pre,1,0.591174,0.591174,,0.591174,0.591174,0.591174,0.591174,
