,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,1.006306,1.006306,,1.006306,1.006306,1.006306,1.006306,
post,1,1.086802,1.086802,,1.086802,1.086802,1.086802,1.086802,
pre,1,0.980193,0.980193,,0.980193,0.980193,0.980193,0.980193,
