,Group,Threshold ratio,N above,% above,N total
0,in,0.01,13,100.0,13
1,in,0.05,0,0.0,13
2,in,0.1,0,0.0,13
3,in,0.2,0,0.0,13
4,post,0.01,17,100.0,17
5,post,0.05,0,0.0,17
6,post,0.1,0,0.0,17
7,post,0.2,0,0.0,17
8,pre,0.01,10,100.0,10
9,pre,0.05,0,0.0,10
10,pre,0.1,0,0.0,10
11,pre,0.2,0,0.0,10
