,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.14522,0.190613,0.124342,0.004559,0.097586,0.21555,0.240486,-0.581295
post,4,0.119052,0.029133,0.191633,0.012227,0.014163,0.134022,0.405717,1.136166
