,Group,Category,N,%,N total
0,in,Increasing,3,50.0,6
1,in,Stable,1,16.7,6
2,in,Decreasing,2,33.3,6
3,post,Increasing,6,85.7,7
4,post,Stable,0,0.0,7
5,post,Decreasing,1,14.3,7
6,pre,Increasing,2,40.0,5
7,pre,Stable,2,40.0,5
8,pre,Decreasing,1,20.0,5
