Group,N,P10,P25,P50,P75,P90,P95,P99
in,10,0.3169,0.5165,0.9077,1.0865,1.6649,2.1058,2.4586
post,9,0.3862,0.6619,0.8796,2.0037,2.1438,2.21,2.263
pre,8,0.249,0.323,0.6157,0.9661,1.0362,1.0671,1.0918
