,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.216786,0.041333,0.318505,0.024587,0.03296,0.312885,0.584436,0.704908
post,4,0.518966,0.47216,0.472148,0.046795,0.181088,0.810038,1.084748,0.2143
pre,2,0.504177,0.504177,0.197268,0.364687,0.434432,0.573922,0.643667,-0.0
