,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,4,0.344314,0.331359,0.043158,0.308716,0.31817,0.357503,0.405823,0.839931
post,5,0.280375,0.238548,0.116239,0.173334,0.237159,0.27512,0.477716,1.122012
pre,3,0.323259,0.283645,0.081923,0.268672,0.276158,0.350552,0.41746,0.680623
