,Group,Category,N,%,N total
0,in,Increasing,1,100.0,1
1,in,Stable,0,0.0,1
2,in,Decreasing,0,0.0,1
3,post,Increasing,2,100.0,2
4,post,Stable,0,0.0,2
5,post,Decreasing,0,0.0,2
