Group,N,P10,P25,P50,P75,P90,P95,P99
in,50,0.2737,0.4702,0.7467,0.9846,1.2307,1.2892,2.258
post,51,0.2949,0.4999,0.7807,1.1263,1.4312,2.1544,39.7024
pre,36,0.4205,0.5218,0.7383,0.9899,1.2122,1.4931,32.5538
