Group,N,P10,P25,P50,P75,P90,P95,P99
in,4,0.729,1.683,2.2829,2.8161,3.6504,3.9285,4.1509
post,3,0.6837,1.563,3.0285,4.1492,4.8215,5.0456,5.2249
pre,4,0.6309,1.247,1.7654,2.394,3.2086,3.4801,3.6974
