Group,N,P10,P25,P50,P75,P90,P95,P99
in,8,0.0443,0.0499,0.1147,0.3144,0.5439,0.5966,0.6387
post,13,0.0075,0.0117,0.0212,0.1097,0.368,0.4011,0.434
pre,4,0.0445,0.0644,0.1031,0.1928,0.3047,0.342,0.3719
