,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.084453,0.009705,0.137958,0.0,0.004853,0.12668,0.243655,0.703172
post,3,0.081186,0.006905,0.13468,3e-06,0.003454,0.121777,0.23665,0.705018
pre,2,0.147175,0.147175,0.184494,0.016719,0.081947,0.212404,0.277632,0.0
