,N,Média,Mediana,DP,Mín,P25,P75,Máx,Assimetria
in,14437,0.519719,0.502154,0.138424,0.143741,0.435358,0.577525,0.996771,0.981641
post,16389,0.494963,0.468963,0.14515,0.091064,0.404621,0.548045,0.997912,1.268769
pre,11013,0.503753,0.479505,0.142234,0.163047,0.41489,0.554472,0.997269,1.224263
