,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.078526,0.078526,,0.078526,0.078526,0.078526,0.078526,
post,2,0.047417,0.047417,0.012529,0.038557,0.042987,0.051847,0.056276,0.0
