,Group,Threshold ratio,N above,% above,N total
0,in,0.01,25,100.0,25
1,in,0.05,0,0.0,25
2,in,0.1,0,0.0,25
3,in,0.2,0,0.0,25
4,post,0.01,29,100.0,29
5,post,0.05,0,0.0,29
6,post,0.1,0,0.0,29
7,post,0.2,0,0.0,29
8,pre,0.01,17,100.0,17
9,pre,0.05,0,0.0,17
10,pre,0.1,0,0.0,17
11,pre,0.2,0,0.0,17
