,Group,Category,N,%,N total
0,in,Increasing,120,41.7,288
1,in,Stable,108,37.5,288
2,in,Decreasing,60,20.8,288
3,post,Increasing,140,37.3,375
4,post,Stable,134,35.7,375
5,post,Decreasing,101,26.9,375
6,pre,Increasing,63,30.4,207
7,pre,Stable,96,46.4,207
8,pre,Decreasing,48,23.2,207
