,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,4,0.56723,0.611226,0.202438,0.299974,0.467365,0.711092,0.746495,-0.515481
post,5,0.495713,0.61061,0.208433,0.26437,0.274747,0.638853,0.689985,-0.35153
pre,3,0.742694,0.684927,0.140711,0.64006,0.662493,0.794011,0.903095,0.627092
