Group,N,P10,P25,P50,P75,P90,P95,P99
in,10,0.3836,0.5081,0.7064,1.312,1.7666,2.1034,2.3729
post,10,0.3924,0.4821,0.6189,1.1009,2.1929,2.388,2.5441
pre,8,0.3485,0.481,0.6451,0.861,1.5792,2.3625,2.9892
