,Group,Threshold ratio,N above,% above,N total
0,in,0.01,21,95.5,22
1,in,0.05,0,0.0,22
2,in,0.1,0,0.0,22
3,in,0.2,0,0.0,22
4,post,0.01,22,81.5,27
5,post,0.05,0,0.0,27
6,post,0.1,0,0.0,27
7,post,0.2,0,0.0,27
8,pre,0.01,15,93.8,16
9,pre,0.05,0,0.0,16
10,pre,0.1,0,0.0,16
11,pre,0.2,0,0.0,16
