,Group,Threshold ratio,N above,% above,N total
0,in,0.01,16,64.0,25
1,in,0.05,0,0.0,25
2,in,0.1,0,0.0,25
3,in,0.2,0,0.0,25
4,post,0.01,20,62.5,32
5,post,0.05,0,0.0,32
6,post,0.1,0,0.0,32
7,post,0.2,0,0.0,32
8,pre,0.01,13,65.0,20
9,pre,0.05,0,0.0,20
10,pre,0.1,0,0.0,20
11,pre,0.2,0,0.0,20
