,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,208,0.203113,0.177091,0.153918,0.000292,0.07939,0.289199,0.756959,0.99699
post,244,0.202201,0.161871,0.188174,1.2e-05,0.074999,0.272059,1.169587,2.228378
pre,145,0.22468,0.190628,0.165276,0.000445,0.10683,0.308667,0.770669,1.097879
