Group,N,P10,P25,P50,P75,P90,P95,P99
in,208,0.1922,0.3136,0.5561,1.012,1.5843,2.6233,18.0447
post,244,0.1727,0.2623,0.5268,1.0369,1.7531,3.1317,15.7808
pre,145,0.1992,0.3012,0.4594,0.8337,1.5296,2.1795,10.3865
