Group,N,P10,P25,P50,P75,P90,P95,P99
in,18,0.2372,0.3553,0.5453,0.8796,1.9366,5.5586,15.0174
post,16,0.1938,0.3586,0.4572,0.9118,4.1603,9.1939,18.0473
pre,9,0.2891,0.4871,0.5956,0.7373,6.4583,11.9915,16.418
