,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,208,1.465991,0.556104,4.959196,0.040716,0.313572,1.011992,60.579605,9.145325
post,244,1.408312,0.526831,4.927281,0.047032,0.262294,1.036852,53.216278,8.871272
pre,145,1.108233,0.459387,3.880608,0.072849,0.301221,0.833683,44.784634,10.179521
