,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,7,0.439605,0.403148,0.398853,0.010696,0.145892,0.628367,1.114869,0.517419
post,7,0.153732,0.131323,0.123971,0.010439,0.07964,0.198555,0.377974,0.674681
pre,6,0.555589,0.396535,0.445513,0.065204,0.315952,0.779666,1.278796,0.670648
