,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.370273,0.205363,0.44081,0.035694,0.120529,0.537562,0.869761,0.591089
post,4,0.363702,0.15906,0.505146,0.025435,0.076756,0.446006,1.111253,1.065101
