,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.077625,0.077625,,0.077625,0.077625,0.077625,0.077625,
post,1,0.1493,0.1493,,0.1493,0.1493,0.1493,0.1493,
pre,1,0.223526,0.223526,,0.223526,0.223526,0.223526,0.223526,
