Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6009,0.6947,1.4e-05,0.1782,100.0,0,0,0.3064,0.0232,11.734
post,0.5552,0.6034,6e-06,0.1644,100.0,0,0,0.5322,0.017,10.8109
pre,0.6382,0.6932,9e-06,0.2817,100.0,0,0,0.6002,0.0197,16.7033
