Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.4964,0.6895,1.5e-05,0.8259,100.0,0,0,1.3841,0.0268,24.3602
post,0.5333,0.5606,1.1e-05,0.7631,100.0,0,0,1.446,0.0239,22.5833
