,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,50,0.770687,0.746702,0.476063,0.189298,0.470177,0.984642,3.078499,2.254898
post,51,2.347012,0.780657,10.572772,0.191077,0.499872,1.126293,76.270626,6.900535
pre,36,2.107336,0.738323,8.088709,0.20171,0.521764,0.989915,49.253652,5.732458
