Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667
post,1,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164
pre,1,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567
