,Group,Category,N,%,N total
0,in,Increasing,7,70.0,10
1,in,Stable,3,30.0,10
2,in,Decreasing,0,0.0,10
3,post,Increasing,6,60.0,10
4,post,Stable,2,20.0,10
5,post,Decreasing,2,20.0,10
6,pre,Increasing,4,50.0,8
7,pre,Stable,2,25.0,8
8,pre,Decreasing,2,25.0,8
