Group,N,P10,P25,P50,P75,P90,P95,P99
in,6,0.2139,0.2243,0.5326,1.1147,1.823,2.1289,2.3736
post,7,0.2935,0.476,0.6318,1.0109,1.7181,2.0824,2.3739
pre,5,0.2557,0.2615,0.7576,1.1937,1.5961,1.7302,1.8375
