Group,N,P10,P25,P50,P75,P90,P95,P99
in,9,0.1665,0.3084,0.4233,0.5421,0.9751,1.0953,1.1914
post,11,0.1648,0.3806,0.4097,0.8196,1.3777,2.5134,3.4221
pre,7,0.2264,0.2922,0.4415,0.5443,0.7135,0.7793,0.8319
