,Group,Category,N,%,N total
0,in,Increasing,1,33.3,3
1,in,Stable,0,0.0,3
2,in,Decreasing,2,66.7,3
3,post,Increasing,2,50.0,4
4,post,Stable,1,25.0,4
5,post,Decreasing,1,25.0,4
