,Group,Threshold ratio,N above,% above,N total
0,in,0.01,13,81.2,16
1,in,0.05,0,0.0,16
2,in,0.1,0,0.0,16
3,in,0.2,0,0.0,16
4,post,0.01,19,86.4,22
5,post,0.05,0,0.0,22
6,post,0.1,0,0.0,22
7,post,0.2,0,0.0,22
8,pre,0.01,10,90.9,11
9,pre,0.05,0,0.0,11
10,pre,0.1,0,0.0,11
11,pre,0.2,0,0.0,11
