Group,N,P10,P25,P50,P75,P90,P95,P99
in,51,0.2822,0.4193,0.6402,1.1555,2.2026,2.3557,2.7474
post,58,0.3393,0.439,0.6126,1.238,2.0433,2.7424,5.8798
pre,34,0.3294,0.5102,0.6773,1.0139,2.7192,3.1233,6.2283
