,Group,Category,N,%,N total
0,in,Increasing,15,60.0,25
1,in,Stable,3,12.0,25
2,in,Decreasing,7,28.0,25
3,post,Increasing,24,82.8,29
4,post,Stable,1,3.4,29
5,post,Decreasing,4,13.8,29
6,pre,Increasing,8,47.1,17
7,pre,Stable,2,11.8,17
8,pre,Decreasing,7,41.2,17
