,Group,Threshold ratio,N above,% above,N total
0,in,0.01,1572,88.6,1775
1,in,0.05,0,0.0,1775
2,in,0.1,0,0.0,1775
3,in,0.2,0,0.0,1775
4,post,0.01,1879,88.8,2115
5,post,0.05,0,0.0,2115
6,post,0.1,0,0.0,2115
7,post,0.2,0,0.0,2115
8,pre,0.01,1190,91.9,1295
9,pre,0.05,0,0.0,1295
10,pre,0.1,0,0.0,1295
11,pre,0.2,0,0.0,1295
