,Group,Threshold ratio,N above,% above,N total
0,in,0.01,47,90.4,52
1,in,0.05,0,0.0,52
2,in,0.1,0,0.0,52
3,in,0.2,0,0.0,52
4,post,0.01,49,94.2,52
5,post,0.05,0,0.0,52
6,post,0.1,0,0.0,52
7,post,0.2,0,0.0,52
8,pre,0.01,35,94.6,37
9,pre,0.05,0,0.0,37
10,pre,0.1,0,0.0,37
11,pre,0.2,0,0.0,37
