Group,N,P10,P25,P50,P75,P90,P95,P99
in,15,0.5212,0.5849,0.6334,0.8518,4.6297,22.6826,52.0647
post,15,0.4274,0.6045,0.8789,1.0221,2.0288,4.7155,9.0839
pre,15,0.4954,0.5382,0.7039,0.976,4.5704,10.7413,18.4275
