Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.154,0.154,0.154,0.154,0.154,0.154,0.154
post,2,0.6008,0.664,0.7693,0.8746,0.9378,0.9589,0.9757
pre,1,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622,0.2622
