,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,2.8e-05,3e-05,1.9e-05,7e-06,1.9e-05,3.8e-05,4.6e-05,-0.208128
post,3,3.7e-05,3.6e-05,3.3e-05,4e-06,2e-05,5.3e-05,7e-05,0.038876
pre,2,1.5e-05,1.5e-05,1.1e-05,7e-06,1.1e-05,1.9e-05,2.3e-05,0.0
