,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.600522,0.684895,0.27887,0.289208,0.487051,0.756179,0.827462,-0.504947
post,3,0.647045,0.76042,0.300432,0.306422,0.533421,0.817356,0.874292,-0.594549
pre,2,0.770737,0.770737,0.041579,0.741337,0.756037,0.785437,0.800138,0.0
