Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.0178,0.0184,0.0195,0.0534,0.0738,0.0806,0.0861
post,4,0.0547,0.0592,0.3501,0.7216,0.8711,0.921,0.9608
pre,2,0.0486,0.0572,0.0715,0.0858,0.0944,0.0973,0.0996
