,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,9,0.050677,0.032244,0.067739,7.4e-05,0.009573,0.052327,0.222588,2.041206
post,11,0.049974,0.022241,0.072945,0.000308,0.016698,0.05681,0.260692,2.440067
pre,8,0.059345,0.042907,0.058881,0.0002,0.025269,0.068213,0.180488,1.180675
