,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,105,3e-06,1e-06,3.1e-05,-0.000159,-0.0,1.3e-05,8.1e-05,-2.154617
post,106,1.2e-05,4e-06,3.4e-05,-0.000108,0.0,1.5e-05,0.000154,1.086688
pre,77,2e-06,0.0,1.1e-05,-1.2e-05,-1e-06,2e-06,9e-05,6.600281
