Group,N,P10,P25,P50,P75,P90,P95,P99
in,52,0.4149,0.5738,0.7668,1.2135,4.9512,14.5344,48.2796
post,60,0.3436,0.5435,0.772,1.1219,2.4354,6.2076,27.6568
pre,42,0.4694,0.5996,0.7686,1.1184,2.4208,6.5465,71.3541
