Group,N,P10,P25,P50,P75,P90,P95,P99
in,2,0.8846,0.8956,0.9139,0.9323,0.9432,0.9469,0.9498
post,2,0.7251,0.7404,0.7659,0.7913,0.8066,0.8117,0.8157
pre,2,0.7983,0.8048,0.8155,0.8263,0.8328,0.835,0.8367
