Group,N,P10,P25,P50,P75,P90,P95,P99
in,12,0.1698,0.2179,0.3706,0.5137,0.9032,0.9341,0.9448
post,17,0.1692,0.2475,0.3476,0.6428,1.1072,1.7562,2.738
pre,8,0.1296,0.2518,0.3535,0.4394,0.8484,1.0998,1.301
