,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1775,0.20022,0.091603,0.348771,0.0,0.030155,0.241325,5.056606,6.859738
post,2115,0.195076,0.078757,0.37158,0.0,0.026059,0.221167,6.246507,7.59359
pre,1295,0.221174,0.115279,0.330666,0.0,0.036923,0.265874,4.627029,4.699032
