Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.5572,0.5572,0.5572,0.5572,0.5572,0.5572,0.5572
post,2,0.4962,0.4988,0.5031,0.5075,0.5101,0.5109,0.5116
pre,1,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802
