Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.5703,0.5702,-2e-06,0.4792,38.9,5.6,55.6,0.6364,0.0228,12.5239
post,0.4699,0.4803,-2e-06,0.3315,42.9,4.8,52.4,0.8224,0.0206,14.288
pre,0.5405,0.5104,-1e-06,0.3488,33.3,22.2,44.4,0.4881,0.0212,12.9864
