,Group,Category,N,%,N total
0,in,Increasing,4,57.1,7
1,in,Stable,2,28.6,7
2,in,Decreasing,1,14.3,7
3,post,Increasing,4,44.4,9
4,post,Stable,1,11.1,9
5,post,Decreasing,4,44.4,9
6,pre,Increasing,4,80.0,5
7,pre,Stable,1,20.0,5
8,pre,Decreasing,0,0.0,5
