,Group,Category,N,%,N total
0,in,Increasing,15,83.3,18
1,in,Stable,1,5.6,18
2,in,Decreasing,2,11.1,18
3,post,Increasing,16,80.0,20
4,post,Stable,2,10.0,20
5,post,Decreasing,2,10.0,20
6,pre,Increasing,5,35.7,14
7,pre,Stable,3,21.4,14
8,pre,Decreasing,6,42.9,14
