,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,284,215.460781,25.522519,710.765315,2.941256,12.865274,103.511097,6668.356081,6.656149
post,368,225.955197,26.891265,605.536153,2.108542,13.15728,141.863944,5345.831465,4.99663
pre,205,273.627796,22.566117,922.191102,4.139896,12.845666,103.999515,7215.02554,5.658916
