,Group,Threshold ratio,N above,% above,N total
0,in,0.01,22,84.6,26
1,in,0.05,0,0.0,26
2,in,0.1,0,0.0,26
3,in,0.2,0,0.0,26
4,post,0.01,27,79.4,34
5,post,0.05,0,0.0,34
6,post,0.1,0,0.0,34
7,post,0.2,0,0.0,34
8,pre,0.01,13,81.2,16
9,pre,0.05,0,0.0,16
10,pre,0.1,0,0.0,16
11,pre,0.2,0,0.0,16
