,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,6,0.020931,0.021153,0.008136,0.009816,0.015922,0.025905,0.031798,-0.034313
post,7,0.022341,0.022235,0.003622,0.015877,0.021563,0.023558,0.028037,-0.316089
pre,5,0.023821,0.023796,0.007156,0.012761,0.02334,0.026825,0.032381,-0.532698
